 Container sreality-postgres  Running
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.extract.MpsvExtractor - MPSV: all sources exhausted — unemployment_pct will be null in dim_obec. Set MPSV_UNEMPLOYMENT_URL in .env to override.
2026-03-27 18:23:13 [main] INFO  com.sreality.etl.Main - MPSV: 0 okres unemployment records
2026-03-27 18:23:13 [main] INFO  c.s.etl.transform.DimensionBuilder - DimObec: 393 unique records (0 with demographics, 0 with unemployment, 1 with synthetic okres)
2026-03-27 18:23:13 [main] INFO  c.s.etl.transform.DimensionBuilder - DimCastObce: 15106 unique records
2026-03-27 18:23:13 [main] INFO  com.sreality.etl.Main - === LOAD DIMENSIONS ===
2026-03-27 18:23:13 [main] INFO  c.sreality.etl.load.PostgresLoader - Upserted 8 kraj rows
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Třebíč' (kod=3710) — no dim_kraj row for kodVusc='108'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Uherské Hradiště' (kod=3711) — no dim_kraj row for kodVusc='141'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Vyškov' (kod=3712) — no dim_kraj row for kodVusc='116'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Znojmo' (kod=3713) — no dim_kraj row for kodVusc='116'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Žďár nad Sázavou' (kod=3714) — no dim_kraj row for kodVusc='108'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Karviná' (kod=3803) — no dim_kraj row for kodVusc='132'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Chrudim' (kod=3603) — no dim_kraj row for kodVusc='94'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Nový Jičín' (kod=3804) — no dim_kraj row for kodVusc='132'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Olomouc' (kod=3805) — no dim_kraj row for kodVusc='124'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Havlíčkův Brod' (kod=3601) — no dim_kraj row for kodVusc='108'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Opava' (kod=3806) — no dim_kraj row for kodVusc='132'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Ostrava-město' (kod=3807) — no dim_kraj row for kodVusc='132'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Přerov' (kod=3808) — no dim_kraj row for kodVusc='124'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Šumperk' (kod=3809) — no dim_kraj row for kodVusc='124'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Svitavy' (kod=3609) — no dim_kraj row for kodVusc='94'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Pardubice' (kod=3606) — no dim_kraj row for kodVusc='94'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Bruntál' (kod=3801) — no dim_kraj row for kodVusc='132'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Frýdek-Místek' (kod=3802) — no dim_kraj row for kodVusc='132'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Ústí nad Orlicí' (kod=3611) — no dim_kraj row for kodVusc='94'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Vsetín' (kod=3810) — no dim_kraj row for kodVusc='141'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Jeseník' (kod=3811) — no dim_kraj row for kodVusc='124'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Břeclav' (kod=3704) — no dim_kraj row for kodVusc='116'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Zlín' (kod=3705) — no dim_kraj row for kodVusc='141'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Hodonín' (kod=3706) — no dim_kraj row for kodVusc='116'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Pelhřimov' (kod=3304) — no dim_kraj row for kodVusc='108'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Jihlava' (kod=3707) — no dim_kraj row for kodVusc='108'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Kroměříž' (kod=3708) — no dim_kraj row for kodVusc='141'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Prostějov' (kod=3709) — no dim_kraj row for kodVusc='124'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Blansko' (kod=3701) — no dim_kraj row for kodVusc='116'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Brno-město' (kod=3702) — no dim_kraj row for kodVusc='116'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: skipping okres 'Brno-venkov' (kod=3703) — no dim_kraj row for kodVusc='116'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertOkres: 31 okres rows skipped (kraj not found) — check RUIAN vusc codes
2026-03-27 18:23:13 [main] INFO  c.sreality.etl.load.PostgresLoader - Upserted 46 okres rows (31 skipped)
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertObec: skipping obec 'Mikolajice' (kod=3760) — no dim_okres row for kodOkresu='3806'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertObec: skipping obec 'Štramberk' (kod=3638) — no dim_okres row for kodOkresu='3804'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertObec: skipping obec 'Malenovice' (kod=3514) — no dim_okres row for kodOkresu='3802'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertObec: skipping obec 'Žamberk' (kod=2666) — no dim_okres row for kodOkresu='3611'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertObec: skipping obec 'Štěpánkovice' (kod=3751) — no dim_okres row for kodOkresu='3806'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertObec: skipping obec 'Lačnov' (kod=3875) — no dim_okres row for kodOkresu='3810'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertObec: skipping obec 'Horní Bečva' (kod=3891) — no dim_okres row for kodOkresu='3810'
2026-03-27 18:23:13 [main] WARN  c.sreality.etl.load.PostgresLoader - upsertObec: skipping obec 'Řetová' (kod=2682) — no dim_okres row for kodOkresu='3611'
